frame_number, orig_local_time, orig_local_time2, local_time, game_elapsed_time, time_diff, inter_data_frame_number,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
29,,,2018-02-25-15:22:32,,0,0,0.0013942413497716188,6.220284558366984e-05,0.4258691668510437,0.19863983988761902,7.4654340744018555,0.1292303502559662,9.025577545166016,9.181815147399902,-27.990753173828125,97.3690185546875,5.686028314855207e-10,7.4654340744018555,8.499007890350185e-06,2.9709932430899144e-12,93.11246490478516,0.08130911737680435,1.0864199539994956e-09,1.112431526184082,6.585050726926056e-09,0.0023295197170227766,0.0001105099290725775,7.828361958672758e-08,0.2875868082046509,7.319841824937612e-05,0.001126845832914114,8.207629434764385e-06,1.6682683678936883e-08,5.501708528754534e-06,0.00019169560982845724,0.024596186354756355,47.17253875732422,-3.9442451000213623,-14.960796356201172,0.4183369576931
30,,,2018-02-25-15:22:32,,0,0,0.0016174680786207318,0.003173747332766652,0.42586350440979004,23.04570198059082,3.3812973499298096,0.0058402433060109615,0.029064040631055832,0.2780090570449829,-1.2428436279296875,95.53482055664062,1.8044371330461217e-08,3.3812973499298096,9.05702036106959e-05,1.7343961822291476e-09,4.139415740966797,0.00168128393124789,3.824949246222786e-09,42.66303634643555,7.008429747656919e-08,0.038130320608615875,4.050722054671496e-05,3.318129131457681e-07,47.475460052490234,1.2311383216001559e-05,0.05521009489893913,1.7769281157598016e-06,3.587037999963627e-09,0.0005317922332324088,0.013899777084589005,0.7402516603469849,47.43058776855469,-6.684096813201904,-15.564765930175781,0.5434470176696777
31,,,2018-02-25-15:22:32,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,,,2018-02-25-15:22:32,,0,0,7.188072777353227e-05,1.950717887666542e-06,0.42588213086128235,0.1928267627954483,89.0059585571289,1.3598814010620117,1.274661660194397,93.68121337890625,-32.510833740234375,86.18390655517578,6.061759982856074e-09,89.0059585571289,0.04709189385175705,1.8209098118227018e-10,90.22506713867188,7.755728721618652,9.176105919550537e-08,0.19172318279743195,2.2456120859715156e-05,0.0022796669509261847,0.0003569888649508357,2.4988122682145786e-09,0.0075008138082921505,2.8814511097152717e-06,0.03162520378828049,1.3874514479539357e-06,6.329354818035426e-08,1.663517286942806e-05,27.015012741088867,0.0063134548254311085,45.94987869262695,-12.846755027770996,-15.014387130737305,-0.939690887928009
33,,,2018-02-25-15:22:33,,0,0,0.0009651997243054211,0.0013122325763106346,0.4260271191596985,0.19797959923744202,17.57923126220703,0.010764816775918007,0.030597608536481857,0.8265188932418823,-4.594139099121094,85.25727081298828,1.4093569367101821e-10,17.57923126220703,2.3920106887817383,4.300049027960995e-08,9.701139450073242,1.3804877996444702,3.681383589082543e-07,4.302994728088379,0.00013447996752802283,0.004084628541022539,0.0028403240721672773,4.430534517041451e-08,0.25619199872016907,1.5270819631041377e-06,0.013703255914151669,1.3905504602007568e-05,1.5861008932915865e-06,0.004025629255920649,1.2667620182037354,0.012933907099068165,45.72072982788086,-13.225380897521973,-6.437135219573975,-4.894028186798096
34,,,2018-02-25-15:22:33,,0,0,5.382027666200884e-05,2.1409661712823436e-05,0.426126092672348,0.19436530768871307,96.96332550048828,0.11838547885417938,0.0022804627660661936,46.210304260253906,-0.408477783203125,90.12086486816406,1.2337434676309988e-12,96.96332550048828,0.08873300999403,95.03230285644531,0.9993599653244019,0.11400377750396729,8.156153796790022e-08,2.2844834327697754,2.6842405986826634e-06,0.017463939264416695,0.004494873806834221,1.3795864006738157e-08,0.08244109898805618,3.029155959666241e-05,0.02175564505159855,2.5538565751048736e-06,8.877589152689325e-07,4.063183951075189e-05,0.4379820227622986,0.030265871435403824,48.17414855957031,-10.946367263793945,-7.139287948608398,-3.8027167320251465
35,,,2018-02-25-15:22:33,,0,0,0.00016689802578184754,0.0001085634357878007,0.4260248839855194,0.1939767301082611,65.84063720703125,0.043856970965862274,0.005629544612020254,11.583785057067871,-1.1888885498046875,91.88642120361328,4.283972482310716e-11,65.84063720703125,0.008823970332741737,1.4245555400848389,2.726379156112671,0.5244883894920349,7.494546316877404e-09,0.6176407337188721,1.8393397738236672e-07,0.010872322134673595,0.002727340906858444,1.081802647462382e-09,0.06357211619615555,5.217086254560854e-06,0.008822674863040447,1.540588385751107e-07,7.496833376308132e-09,0.00044688559137284756,0.036203984171152115,0.050941843539476395,48.491275787353516,-9.8649320602417,-15.963382720947266,-8.113062858581543
36,,,2018-02-25-15:22:33,,0,0,6.12694420851767e-05,2.6076275389641523e-05,0.4260042607784271,0.1936126947402954,93.39845275878906,0.09074260294437408,0.002732203807681799,40.5527229309082,-3.267974853515625,92.16397094726562,2.471087570676822e-11,93.39845275878906,0.001982304500415921,90.20048522949219,0.7928323149681091,4.326147079467773,7.168829796455611e-08,14.22385311126709,2.2347509798237297e-07,0.015136749483644962,0.0024392232298851013,3.857145991492672e-10,0.0458553247153759,1.0165968888031784e-05,0.00892945658415556,1.1276281952632417e-07,1.0260353455748827e-08,8.134904305734381e-07,0.3077724575996399,0.01243660505861044,48.18769073486328,-9.67581558227539,-15.81673526763916,-5.720973491668701
37,,,2018-02-25-15:22:34,,0,0,0.0016850848915055394,0.003575386945158243,0.3777325749397278,2.792954444885254,3.7978432178497314,0.0050978087820112705,0.021202540025115013,0.24667824804782867,0.43897685408592224,95.9925537109375,2.6197166658192828e-09,3.7978432178497314,1.4725681467098184e-05,2.1564128260820326e-09,0.2263643592596054,1.2475088340124785e-07,1.1889331297254557e-08,0.045052364468574524,1.3479920625686646,0.0710059106349945,4.582414840115234e-05,0.3085605800151825,25.631988525390625,1.7998714611167088e-05,2.83687162399292,8.845289585224236e-07,2.7151469112141058e-05,1.506899118423462,0.002045017434284091,0.04735775291919708,48.091400146484375,6.119413375854492,-6.900612831115723,-0.5966942310333252
38,,,2018-02-25-15:22:34,,0,0,98.03935241699219,4.6995150881912195e-08,0.0003111695114057511,0.00012157726450823247,99.27450561523438,0.00012609416444320232,3.254647481298889e-06,34.446495056152344,99.94007110595703,85.8998031616211,1.2022045581261409e-08,88.78995513916016,0.002242305316030979,4.734210246049031e-10,0.07435072958469391,1.3491721517766564e-07,3.395682881546236e-07,0.56639564037323,0.09975633770227432,2.175220012664795,0.008575587533414364,99.27450561523438,0.7101996541023254,0.005468713119626045,17.96310806274414,2.325759851373732e-07,3.489367736619897e-05,4.185718536376953,0.7950599193572998,0.018714070320129395,45.80992126464844,12.96503734588623,-14.21096134185791,0.7045120000839233
39,,,2018-02-25-15:22:34,,0,0,95.97953033447266,4.331361935783207e-08,0.00031732130446471274,0.00020246046187821776,96.1143569946289,0.00020257614960428327,3.209473106835503e-06,43.31025695800781,94.7412338256836,56.60357666015625,5.513237510967883e-08,93.321533203125,0.12079732120037079,2.748887339976136e-09,0.6154114603996277,2.3624763798579806e-06,2.0022095270633145e-07,0.00957706943154335,3.286550998687744,5.004894733428955,0.010165038518607616,96.1143569946289,3.279468297958374,0.4934605658054352,4.8270583152771,4.797026349478983e-07,2.0680939996964298e-05,0.21379366517066956,0.05116727948188782,0.010466746985912323,44.825477600097656,20.671524047851562,-12.868090629577637,-1.9684242010116577
40,,,2018-02-25-15:22:34,,0,0,0.0001700222201179713,1.5985899153747596e-05,0.27924492955207825,0.144710972905159,95.40898895263672,0.07357119768857956,0.001473178737796843,43.0037841796875,5.85289192199707,41.087528228759766,9.328452676982124e-08,95.40898895263672,0.0021428512409329414,3.377734092424589e-09,0.010784348472952843,1.0552397498031496e-06,5.7657800311972096e-08,0.012811430729925632,0.009336566552519798,0.1934790462255478,0.005075349938124418,6.015674114227295,1.547637939453125,0.320482075214386,60.69190979003906,1.4892017929923895e-07,2.107050022459589e-05,0.01669018156826496,0.0004015830345451832,0.0011898521333932877,44.71336364746094,23.801740646362305,-6.463461399078369,-1.6297019720077515
41,,,2018-02-25-15:22:34,,0,0,7.862417987780645e-05,2.4705195755814202e-05,0.3926423490047455,0.18327179551124573,93.13280487060547,0.11272850632667542,0.0017769738333299756,43.029415130615234,1.1178655624389648,62.14735794067383,7.81648168413085e-09,93.13280487060547,0.0007472171564586461,5.266234670564529e-10,0.08414724469184875,1.524975050415378e-05,4.818895860125849e-08,0.04801153019070625,0.011505805887281895,5.8157243728637695,0.001355832675471902,1.3185579776763916,0.45902031660079956,0.34367477893829346,86.23560333251953,1.1417903955646125e-08,1.2674159961534315e-06,0.001884241821244359,0.0012435951502993703,0.0005518163088709116,44.890357971191406,19.520963668823242,-14.247127532958984,-1.1196502447128296
